From,To,Weight,Impact Factor
SPAN J FINANC ACCOUN,J ACCOUNT RES,21,3
FRONT PSYCHOL,COGNITION,1115,3.414
GOV INFORM Q,TELECOMMUN POLICY,20,1.526
PLOS ONE,BODY IMAGE,39,2.926
ASSESS EVAL HIGH EDU,STUD CONTIN EDUC,8,1
JOURNALISM,JOURNALISM STUD,102,1.927
REV WORLD ECON,AM ECON REV,59,4.026
EUR SOCIOL REV,ANNU REV SOCIOL,45,5.404
J PERS ASSESS,J PERS ASSESS,304,2.024
ANN BEHAV MED,J CONSULT CLIN PSYCH,65,4.593
INT J LOGIST-RES APP,INT J LOGIST MANAG,53,1.610
J INDIVID DIFFER,EUR J PERSONALITY,16,3.707
BEHAV THER,BEHAV MODIF,29,1.455
AIDS CARE,AIDS EDUC PREV,71,1.671
PERS SOC PSYCHOL B,BRIT J SOC PSYCHOL,48,1.692
PSYCHIAT RES,WORLD PSYCHIATRY,67,26.561
LEARN INDIVID DIFFER,READ RES QUART,56,1.596
J MANAGE ORGAN,STRATEGIC MANAGE J,86,4.461
J THEOR SOC BEHAV,AM J SOCIOL,10,3.088
ETHICS INF TECHNOL,PSYCHOL BULL,9,16.793
INT J CONTEMP HOSP M,SERV IND J,65,1.172
J ELECTRON COMMER RE,COMPUT HUM BEHAV,37,3.435
MOD LANG J,LANG TEACH RES,36,1.741
AM ECON REV,J MONETARY ECON,114,2.11
COMPUT HUM BEHAV,SPAT COGN COMPUT,9,1.167
J LEARN DISABIL-US,CHILD DEV,37,4.195
J PSYCHOLINGUIST RES,DISCOURSE PROCESS,36,2.074
J PHYS ACT HEALTH,RES Q EXERCISE SPORT,74,1.815
PSYCHIAT RES,PSYCHOL REP,59,0.629
PSYCHOL WOMEN QUART,AM PSYCHOL,56,6.681
AM J OCCUP THER,J AUTISM DEV DISORD,33,3.321
REV GEN PSYCHOL,REV GEN PSYCHOL,37,1.492
INFORM MANAGE-AMSTER,J GLOB INF TECH MAN,4,1.167
CAN J INFORM LIB SCI,INFORM PROCESS MANAG,8,2.391
COMPUT HUM BEHAV,STRUCT EQU MODELING,147,3.097
J BALT SCI EDUC,EURASIA J MATH SCI T,15,0.903
J ECON LIT,Q J ECON,97,6.662
J INT BUS STUD,J WORLD BUS,67,3.758
COMMUN THEOR,COMMUN MONOGR,13,1.738
J IMMIGR MINOR HEALT,ANNU REV PUBL HEALTH,33,10.228
TECHNOVATION,ACAD MANAGE J,54,7.417
FRONT PSYCHOL,AGING NEUROPSYCHOL C,37,1.763
INT J LOGIST MANAG,INT J PHYS DISTR LOG,134,2.577
INT J SOC RES METHOD,AM SOCIOL REV,16,4.4
JOURNALISM STUD,MEDIA CULT SOC,30,1.128
RES HIGH EDUC,J COLL STUDENT DEV,58,0.623
CULT HEALTH SEX,FEM PSYCHOL,9,0.757
ORGAN STUD,ACAD MANAGE REV,224,9.408
HEALTH SOC CARE COMM,BMC HEALTH SERV RES,35,1.827
MED CARE,HEALTH AFFAIR,231,4.98
PHILOS PSYCHOL,PHILOS PSYCHOL,81,1.029
J ECON DYN CONTROL,AM ECON REV,232,4.026
J MONETARY ECON,REV ECON STUD,82,4.03
J NURS EDUC,J TRANSCULT NURS,14,1.262
SECUR J,J CRIM JUST,16,2.339
J SERV MANAGE,SERV SCI,8,1.158
J HUM EVOL,J HUM EVOL,1246,3.932
PSYCHIAT QUART,BRIT J PSYCHIAT,39,6.347
APPL NURS RES,RES NURS HEALTH,43,1.693
PLOS ONE,PSYCHOL MUSIC,45,1.394
PUBLIC HEALTH REP,AM J PUBLIC HEALTH,120,3.858
BEHAV PSYCHOL,PERS INDIV DIFFER,20,2.005
TRANSPORT RES F-TRAF,TRANSPORT RES F-TRAF,587,1.830
APPL MEAS EDUC,J EDUC MEAS,56,0.979
MINDFULNESS,J CHILD FAM STUD,89,1.386
PSYCHOL HEALTH,HEALTH PSYCHOL,142,3.458
CURR PSYCHIAT REP,AM J PSYCHIAT,214,14.176
J PRIM PREV,AM J PUBLIC HEALTH,16,3.858
COMMUN THEOR,JOURNALISM,17,1.484
EUR MANAG REV,J MARKETING,33,5.318
J YOUTH ADOLESCENCE,PSYCHOL BULL,190,16.793
FRONT PSYCHOL,PERCEPT MOTOR SKILL,164,0.626
FRONT PSYCHOL,CREATIVITY RES J,104,1.216
INT J IND ERGONOM,HUM FACTOR ERGON MAN,34,0.761
SOC SCI MED,J GERONTOL B-PSYCHOL,121,3.064
HEALTH PSYCHOL,ANN BEHAV MED,69,2.976
J SERV MANAGE,J BUS RES,70,3.354
FAM BUS REV,J MANAGE STUD,31,3.962
J BEHAV DECIS MAKING,JUDGM DECIS MAK,69,1.604
J INF SCI,INFORM RES,18,0.574
UNIVERSAL ACCESS INF,COMMUN ACM,17,4.027
MARKETING THEOR,J CONSUM RES,154,3.800
J CREATIVE BEHAV,PERS INDIV DIFFER,20,2.005
PSYCHOL RUNDSCH,J EXP PSYCHOL HUMAN,11,2.287
SOC PSYCHOL EDUC,CHILD DEV,44,4.195
COGN PROCESS,J COGNITIVE NEUROSCI,35,3.108
J BEHAV ADDICT,ADICCIONES,10,2.077
BMC PUBLIC HEALTH,AM J COMMUN PSYCHOL,34,2.108
J LEARN DISABIL-US,J EDUC PSYCHOL,135,3.459
J YOUTH STUD,J ADOLESCENT HEALTH,26,3.974
RES THEOR NURS PRACT,ADV NURS SCI,8,0.683
J NERV MENT DIS,J NERV MENT DIS,199,1.860
HUM COMMUN RES,J LANG SOC PSYCHOL,10,1.272
J SEX RES,J SEX MARITAL THER,77,1.935
J CHILD FAM STUD,J ABNORM CHILD PSYCH,260,3.615
BRAIN INJURY,BRAIN INJURY,489,1.971
BEHAV INFORM TECHNOL,J ORGAN END USER COM,3,0.759
INT J ENV RES PUB HE,PLOS ONE,757,2.806
LEARN INDIVID DIFFER,EUR J PSYCHOL ASSESS,24,2.328
PLOS ONE,INT J QUAL METH,13,0.641
J BEHAV MED,J PERS SOC PSYCHOL,77,5.017
CRIM JUSTICE BEHAV,J CONTEMP CRIM JUST,23,0.913
SYST PRACT ACT RES,SYST RES BEHAV SCI,16,1.034
NEUROPSYCHOLOGIA,BRAIN COGNITION,215,2.432
LANG SPEECH HEAR SER,LANG SPEECH HEAR SER,73,1.193
DISCOURSE STUD,DISCOURSE SOC,17,1.029
REV MANAG SCI,J FINANC ECON,55,4.505
FRONT PSYCHOL,IND ORGAN PSYCHOL-US,31,1.747
EXP ECON,Q J ECON,76,6.662
HUM RESOUR MANAG J,PERS REV,21,1.427
J IND ECON,REV ECON STUD,24,4.03
ILR REV,AM ECON REV,31,4.026
J APPL BEHAV ANAL,BEHAV ANALYST,14,0.971
J ADOLESCENT RES,J YOUTH ADOLESCENCE,27,3.284
J CHILD ADOLES SUBST,J AM ACAD CHILD PSY,54,6.442
J BUS ETHICS,J BUS ETHICS,2925,2.354
TOTAL QUAL MANAG BUS,ACAD MANAGE REV,49,9.408
Z KL PSYCH PSYCHOTH,J PSYCHOSOM RES,11,2.809
BIOSOCIETIES,NATURE,28,40.137
INT COMMUN GAZ,MASS COMMUN SOC,16,1.308
INT J MARKET RES,J CONSUM RES,65,3.800
HUM FACTOR ERGON MAN,J APPL PSYCHOL,34,4.130
J GERONTOL B-PSYCHOL,AGEING SOC,29,1.386
PLOS ONE,ACTA PSYCHOL,233,2.031
INT J SCI MATH EDUC,J EDUC PSYCHOL,56,3.459
MANAGE INT REV,STRATEGIC MANAGE J,217,4.461
FRONT PSYCHOL,J PERS PSYCHOL,10,1.098
CHILD CARE HLTH DEV,J PEDIATR PSYCHOL,41,2.444
COMPUT HUM BEHAV,ETHICS INF TECHNOL,10,1.500
DEVIANT BEHAV,SOCIOL QUART,15,1.237
J EXP SOC PSYCHOL,PSYCHOL SCI,159,5.667
BRAIN INJURY,J HEAD TRAUMA REHAB,309,3.214
ADDICT RES THEORY,J ADDICT NURS,2,0.400
PSYCHOL REC,BEHAV PROCESS,38,1.746
PUBLIC MANAG REV,REV PUBLIC PERS ADM,22,1.474
PSYCHOL MARKET,J MARKETING,212,5.318
J TRANSCULT NURS,J KOREAN ACAD NURS,9,0.521
VERHALTENSTHERAPIE,BEHAV RES THER,14,4.064
INNOVATION-ABINGDON,INNOVATION-ABINGDON,17,0.811
CHILD YOUTH CARE FOR,J CLIN CHILD ADOLESC,36,4.396
SOC NATUR RESOUR,SCIENCE,44,37.205
INTELLIGENCE,AM PSYCHOL,39,6.681
SOC SCI MED,J AGING HEALTH,35,2.168
LIBR QUART,LIBR QUART,47,0.558
CAREER DEV INT,J ORGAN BEHAV,68,3.607
J WORLD BUS,J INT MANAG,90,2.600
PERS INDIV DIFFER,PSYCHOL INQ,138,16.455
RECALL,COMPUT ASSIST LANG L,23,2.121
WORK EMPLOY SOC,WORK EMPLOY SOC,228,1.821
J CHILD FAM STUD,CHILD ABUSE REV,14,1.543
ORGAN BEHAV HUM DEC,J EXP SOC PSYCHOL,79,2.159
CIN-COMPUT INFORM NU,INT J MED INFORM,43,3.210
THEOR PRACT,TEACH TEACH EDUC,11,2.183
INT J CONTEMP HOSP M,J HOSP TOUR RES,132,2.646
J OCCUP ORGAN PSYCH,J PERS SOC PSYCHOL,76,5.017
PLOS ONE,SCI ENG ETHICS,14,2.229
CRISIS,SUICIDE LIFE-THREAT,120,3.252
COMPUT HUM BEHAV,INFORM TECHNOL PEOPL,23,1.339
EMOT REV,PSYCHOL SCI,41,5.667
J TRAVEL RES,J MARKETING,78,5.318
SUSTAINABILITY-BASEL,ECON RES-EKON ISTRAZ,6,0.742
COMPUT HUM BEHAV,J LANG SOC PSYCHOL,22,1.272
INFORM DEV,AFR J LIBR ARCH INFO,3,0.179
J BUS RES,J MANAGE,381,7.733
NICOTINE TOB RES,NICOTINE TOB RES,1141,4.609
J CHILD FAM STUD,CHILD YOUTH CARE FOR,29,1.054
J ASSOC INF SCI TECH,INFORM RES,46,0.574
COUNS PSYCHOL,J PERS SOC PSYCHOL,23,5.017
GAME ECON BEHAV,EXP ECON,52,2.391
ORGANIZATION,ORGANIZATION,198,2.121
J AGR ENVIRON ETHIC,BRIT FOOD J,26,1.206
SOC INDIC RES,EUR J AGEING,16,1.177
J LABOR ECON,ECONOMETRICA,68,3.379
IND ORGAN PSYCHOL-US,MIL PSYCHOL,7,0.734
AUST NZ J PSYCHIAT,BRIT J PSYCHIAT,158,6.347
J EXP CHILD PSYCHOL,J GENET PSYCHOL,12,0.452
PLOS ONE,ANNU REV PSYCHOL,318,19.95
SCAND J OCCUP THER,AM J OCCUP THER,89,2.053
J ADOLESCENCE,DEV PSYCHOL,167,3.228
J RES EDUC EFF,REV EDUC RES,30,5.263
POLIT COMMUN,POLIT PSYCHOL,31,2.76
STRATEG ORGAN,ACAD MANAGE J,176,7.417
Q J ECON,J PUBLIC ECON,40,1.538
J GEN INTERN MED,MED CARE,146,2.897
ACAD MANAG LEARN EDU,MANAGE LEARN,34,1.836
PSYCHOSOM MED,PSYCHOSOM MED,339,3.863
STRATEGIC MANAGE J,ADMIN SCI QUART,521,4.929
COMPUT IND ENG,INT J LOGIST-RES APP,16,1.018
J HOMOSEXUAL,SEX ROLES,47,1.954
BMC GERIATR,AGING MENT HEALTH,74,2.658
AM POLIT RES,J POLIT,163,1.938
PSYCHOL AESTHET CREA,PERS INDIV DIFFER,49,2.005
TEACH PSYCHOL,PSYCHOL BULL,16,16.793
LEADERSHIP QUART,RES ORGAN BEHAV,45,2.55
J BUS RES,J SERV RES-US,178,6.847
RES POLICY,SCIENTOMETRICS,75,2.147
ELECTRON MARK,ELECTRON COMMER RES,20,1.320
TOTAL QUAL MANAG BUS,TOTAL QUAL MANAG BUS,421,1.368
AGING NEUROPSYCHOL C,AGING NEUROPSYCHOL C,39,1.763
ENVIRON PLANN A,THEOR CULT SOC,24,1.904
COMPUT HUM BEHAV,PUBLIC OPIN QUART,85,1.386
BMJ OPEN,PATIENT EDUC COUNS,209,2.429
COMPUT HUM BEHAV,EDUC RES-UK,12,0.909
J INTERPERS VIOLENCE,AM J ORTHOPSYCHIAT,32,1.692
TECHNOVATION,J PROD INNOVAT MANAG,66,3.759
ASIA-PAC EDUC RES,J EDUC PSYCHOL,35,3.459
J RISK UNCERTAINTY,J RISK UNCERTAINTY,60,1.298
AM J NURS,NEW ENGL J MED,16,72.406
BRIT FOOD J,INT J CONSUM STUD,72,1.510
FRONT PSYCHOL,GROUP PROCESS INTERG,35,1.743
J CHILD PSYCHOL PSYC,J ABNORM CHILD PSYCH,114,3.615
PLOS ONE,DEVELOPMENTAL SCI,189,4.604
J AM MED INFORM ASSN,J AM MED INFORM ASSN,551,3.698
J SERV MARK,J ACAD MARKET SCI,146,5.888
COMPUT EDUC,J SCI EDUC TECHNOL,44,1.080
FAM COMMUNITY HEALTH,JAMA-J AM MED ASSOC,17,44.405
BMC PUBLIC HEALTH,HEALTH EDUC RES,144,1.816
LAND USE POLICY,ENVIRON PLANN B,56,1.527
CRIM JUSTICE BEHAV,LAW HUMAN BEHAV,75,2.822
J TRAVEL TOUR MARK,CORNELL HOSP Q,24,2.657
J CREATIVE BEHAV,PSYCHOL BULL,16,16.793
SOC INFLUENCE,J EXP SOC PSYCHOL,23,2.159
BMJ OPEN,IMPLEMENT SCI,188,3.354
INT J SCI EDUC,RES SCI EDUC,109,1.329
ACAD-REV LATINOAM AD,ENTREP THEORY PRACT,19,4.916
GROUP DYN-THEOR RES,J COUNS PSYCHOL,14,2.516
STRATEG ORGAN,STRATEG ORGAN,40,1.941
J PERS SOC PSYCHOL,PERS RELATIONSHIP,36,0.739
J POLIT ECON,J POLIT ECON,83,3.923
EDUC XX1,PSICOTHEMA,16,1.344
PLOS ONE,J AM MED INFORM ASSN,168,3.698
J MEDIA PSYCHOL-GER,COMMUN RES,17,3.021
FRONT PSYCHOL,BEHAV COGN PSYCHOTH,31,1.697
CURR OPIN PSYCHIATR,PSYCHOL MED,40,5.23
INFORM TECHNOL PEOPL,J MANAGE INFORM SYST,43,2.356
ELECTRON MARK,J MARKETING,31,5.318
ACAD-REV LATINOAM AD,RBGN-REV BRAS GEST N,2,0.153
VIOLENCE VICTIMS,AGGRESS VIOLENT BEH,50,1.928
J CHILD FAM STUD,AM PSYCHOL,98,6.681
INT J INTERCULT REL,PSYCHOL BULL,28,16.793
CAREER DEV INT,ACAD MANAGE J,46,7.417
J ACAD MARKET SCI,J BUS IND MARK,17,1.371
J RATION-EMOT COGN-B,J PERS SOC PSYCHOL,13,5.017
INT J CLIN HLTH PSYC,INT J CLIN HLTH PSYC,88,2.567
PSYCHOL MED,ANNU REV CLIN PSYCHO,56,12.136
J SERV RES-US,J APPL PSYCHOL,58,4.130
COGNITION,JPN PSYCHOL RES,5,0.531
SEX ROLES,REV PSICOL SOC,4,0.364
ECON INQ,ECON J,64,2.608
MOBILITIES-UK,MOBILITIES-UK,194,2.043
ANN TOURISM RES,LEISURE STUD,18,1.476
EUR J CRIM POLICY RE,J CRIM JUST,16,2.339
INT J HOSP MANAG,CORNELL HOSP Q,110,2.657
COMMUN RES,HEALTH COMMUN,29,1.487
INT J OPER PROD MAN,SUPPLY CHAIN MANAG,84,4.072
MANAGE ACCOUNT RES,J ACCOUNT RES,32,3
J PSYCHOEDUC ASSESS,J RATION-EMOT COGN-B,6,0.696
EUR PSYCHOL,J PERS SOC PSYCHOL,33,5.017
PSYCHOL FR,CHILD DEV,17,4.195
PERS INDIV DIFFER,J SOC PERS RELAT,41,1.425
INT J INCLUSIVE EDUC,INT J INCLUSIVE EDUC,193,0.844
ADICCIONES,DRUG ALCOHOL DEPEN,43,3.222
QUAL HEALTH RES,RES THEOR NURS PRACT,4,0.432
CHILD YOUTH SERV REV,J SOC SOC WORK RES,6,0.688
PLOS ONE,CONSCIOUS COGN,154,2.144
J HAPPINESS STUD,SCHOOL PSYCHOL INT,16,1.012
TECHNOL ECON DEV ECO,APPL SOFT COMPUT,31,3.541
J CRIM JUST,J CRIM JUST,146,2.339
INT J HUM RESOUR MAN,ORGAN DYN,30,0.93
THEOR CULT SOC,BRIT J SOCIOL,22,1.594
IND ORGAN PSYCHOL-US,J APPL PSYCHOL,226,4.130
J R STAT SOC A STAT,AM ECON REV,33,4.026
AM ECON J-MICROECON,AM ECON REV,142,4.026
MARIT POLICY MANAG,EUR J OPER RES,31,3.297
J CONSUM CULT,J CONSUM CULT,100,3.579
DEMOGRAPHY,J HEALTH SOC BEHAV,51,3
STUD PSYCHOL,INTELLIGENCE,14,2.982
SOCIOLOGY,J YOUTH STUD,27,1.440
SEXUALITIES,J HOMOSEXUAL,23,1.369
COGN BEHAV THERAPY,COGN BEHAV THERAPY,40,2.264
COGNITIVE PSYCHOL,COGNITION,72,3.414
AIDS EDUC PREV,AIDS EDUC PREV,66,1.671
J HOSP TOUR RES,J APPL PSYCHOL,46,4.130
IEEE T PROF COMMUN,J MANAGE INFORM SYST,22,2.356
EMOT REV,PSYCHOL BULL,37,16.793
LEADERSHIP QUART,LEADERSHIP ORG DEV J,17,0.864
PORTA LINGUARUM,APPL LINGUIST,14,3.593
ANNU REV SOCIOL,ANNU REV SOCIOL,65,5.404
J ADV NURS,J CLIN NURS,213,1.214
MIL PSYCHOL,PSYCHOL SERV,10,1.544
J EXP PSYCHOL-APPL,J APPL PSYCHOL,31,4.130
TOURISM MANAGE,J HOSP TOUR RES,62,2.646
INT J ENV RES PUB HE,J EPIDEMIOL COMMUN H,220,3.608
PSYCHIAT RES,J CLIN PSYCHOL,135,2.123
CORNELL HOSP Q,J MARKETING,90,5.318
LEARN INDIVID DIFFER,PSYCHOL SCHOOLS,31,1.190
EVOL HUM BEHAV,PSYCHOL SCI,73,5.667
INT J PUBLIC OPIN R,J PERS SOC PSYCHOL,19,5.017
HUM RELAT,ORGAN STUD,193,3.107
J INF TECHNOL,INFORM TECHNOL PEOPL,9,1.339
PERS INDIV DIFFER,TIME SOC,20,1.206
J EDUC PSYCHOL,LEARN INSTR,77,3.983
J FINANC,ECONOMETRICA,100,3.379
ANN CLIN PSYCHIATRY,AM J PSYCHIAT,40,14.176
INT J AGING HUM DEV,J GERONTOL B-PSYCHOL,69,3.064
J FAM THER,J FAM PSYCHOL,24,1.742
J BUS RES,SOCIOL METHOD RES,29,3.604
BMJ OPEN,EUR J PUBLIC HEALTH,90,2.431
ENG MANAG J,DECIS ANAL,6,1.242
EDUC GERONTOL,GERONTOLOGIST,71,3.505
J ASSOC INF SCI TECH,COLL RES LIBR,35,1.515
J SPEC EDUC,J AUTISM DEV DISORD,18,3.321
J SOC PERS RELAT,J PERS SOC PSYCHOL,211,5.017
EDUC REV,TEACH TEACH EDUC,32,2.183
SUBST ABUS,JAMA-J AM MED ASSOC,66,44.405
J ATTEN DISORD,J AM ACAD CHILD PSY,223,6.442
SOCIOL EDUC,SOCIOL EDUC,82,2.697
TOB CONTROL,NICOTINE TOB RES,314,4.609
PSYCHOL REV,COGNITION,77,3.414
ASIA PAC BUS REV,ASIA PAC BUS REV,42,1
J INTERPERS VIOLENCE,PSYCHOL WOMEN QUART,48,2.432
INT J HOSP MANAG,J APPL PSYCHOL,171,4.130
AN PSICOL-SPAIN,SOC INDIC RES,36,1.743
COMPUT HUM BEHAV,COMMUN RES,275,3.021
AUTISM,PEDIATRICS,89,5.705
J PUBLIC ECON,REV ECON STAT,50,2.926
J TRAVEL TOUR MARK,INT J HOSP MANAG,128,2.787
ORGAN RES METHODS,ACAD MANAGE J,59,7.417
LANG COMMUN,J POLITENESS RES-LAN,7,0.522
SUSTAINABILITY-BASEL,ENVIRON RESOUR ECON,72,1.582
J BUS PSYCHOL,ACAD MANAGE J,63,7.417
INT J CONSUM STUD,CLOTH TEXT RES J,16,0.85
PERS INDIV DIFFER,SOC INDIC RES,74,1.743
PLOS ONE,J EPIDEMIOL COMMUN H,494,3.608
J EXP PSYCHOL LEARN,BEHAV RES METHODS,96,3.623
NONPROF VOLUNT SEC Q,VOLUNTAS,72,1.098
RES AGING,J AGING HEALTH,24,2.168
NORD J PSYCHIAT,AM J PSYCHIAT,92,14.176
NEW MEDIA SOC,J MASS COMMUN Q,35,1.301
J BUS RES,INT J FORECASTING,57,2.642
PSYCHIAT RES,ASSESSMENT,50,3.062
EUR CHILD ADOLES PSY,J AM ACAD CHILD PSY,324,6.442
J CLIN NURS,RES NURS HEALTH,34,1.693
MALAYS J LIBR INF SC,J INF SCI,13,1.372
J POLIT ECON,REV ECON STUD,56,4.03
ASIAN J COMMUN,J COMMUN,58,3.914
INT J TECHNOL MANAGE,ACAD MANAGE J,41,7.417
TEACH TEACH EDUC,J EXP EDUC,19,1.588
INFORM RES,LIBR INFORM SCI RES,36,1.185
PROBL EKOROZW,PROBL EKOROZW,16,0.688
EDUC GERONTOL,EDUC GERONTOL,134,0.674
EDUC REV,PERS INDIV DIFFER,14,2.005
J BUS RES,ACAD MANAGE J,854,7.417
MEMORY,MEM COGNITION,268,2.253
EDUC REV,J EDUC PSYCHOL,12,3.459
J BUS ETHICS,J PSYCHOL,13,1.642
IND MANAGE DATA SYST,J ENG TECHNOL MANAGE,14,2.419
J THEOR SOC BEHAV,J PERS SOC PSYCHOL,13,5.017
J PSYCHOEDUC ASSESS,STRUCT EQU MODELING,56,3.097
EDUC XX1,EDUC XX1,14,1.094
ATTACH HUM DEV,DEV PSYCHOPATHOL,73,3.244
PERS INDIV DIFFER,PSYCHOL SCI PUBL INT,13,14.143
PSYCHIAT RES,ARCH SUICIDE RES,37,1.901
J LANG SOC PSYCHOL,J LANG SOC PSYCHOL,101,1.272
ADICCIONES,EUR J PSYCHIAT,3,0.426
J SOC CLIN PSYCHOL,PERS SOC PSYCHOL B,24,2.504
POLIT RES QUART,AM POLIT SCI REV,147,3.316
INFORM MANAGE-AMSTER,DATA BASE ADV INF SY,15,0.458
SERV BUS,J MARKETING RES,61,3.654
J BUS RES,DECISION SCI,52,1.595
EVALUATION REV,J RES EDUC EFF,13,1.31
S AFR J BUS MANAG,J MANAGE,14,7.733
SWISS J PSYCHOL,J EXP SOC PSYCHOL,10,2.159
PSYCHOL SCHOOLS,J SCHOOL PSYCHOL,75,3.000
J BUS RES,J SERV MARK,86,1.811
PSYCHIAT QUART,PSYCHIAT SERV,40,2.888
J CLEAN PROD,INNOV-MANAG POLICY P,7,0.950
J YOUTH ADOLESCENCE,J FAM PSYCHOL,111,1.742
HUM RESOUR MANAGE-US,PERS PSYCHOL,117,4.362
NEW TECH WORK EMPLOY,J MANAGE STUD,17,3.962
LEARN INDIVID DIFFER,ASIA-PAC EDUC RES,9,0.576
POLICY SCI,AM POLIT SCI REV,15,3.316
FRONT PSYCHOL,CHILD PSYCHIAT HUM D,35,2.012
VIOLENCE AGAINST WOM,J FAM VIOLENCE,89,0.871
SUICIDE LIFE-THREAT,PSYCHOL MED,39,5.23
BMC PUBLIC HEALTH,ANN BEHAV MED,111,2.976
ANNU REV POLIT SCI,ANNU REV POLIT SCI,46,2.804
J VOCAT BEHAV,INT J EDUC VOCAT GUI,14,0.618
J PSYCHOSOM RES,JAMA-J AM MED ASSOC,58,44.405
ERGONOMICS,HUM FACTORS,153,2.219
CULT DIVERS ETHN MIN,PSYCHOL BULL,67,16.793
ORGAN DYN,J MANAGE,9,7.733
PSYCHIATR REHABIL J,PSYCHIAT SERV,164,2.888
SEX RES SOC POLICY,AIDS BEHAV,29,2.916
EPJ DATA SCI,PLOS ONE,75,2.806
GERIATR NURS,INT J GERIATR PSYCH,28,3.018
TOURISM MANAGE,SERV IND J,41,1.172
CONTINUUM-J MEDIA CU,MEDIA CULT SOC,11,1.128
RENEW SUST ENERG REV,ENERG POLICY,3732,4.140
J BUS ECON MANAG,INZ EKON,5,0.726
J PEDIATR PSYCHOL,J PEDIATR PSYCHOL,472,2.444
CLIN PSYCHOL-UK,INT J GERIATR PSYCH,13,3.018
MEM COGNITION,PSYCHON B REV,201,2.921
LEARN INDIVID DIFFER,MOTIV EMOTION,32,2.067
CURR PSYCHOL,J PERS SOC PSYCHOL,164,5.017
HUM RESOUR DEV REV,J MANAGE,17,7.733
PSYCHOL AESTHET CREA,J CREATIVE BEHAV,44,1.853
DEV PSYCHOPATHOL,J FAM PSYCHOL,65,1.742
EDUC PSYCHOL-US,EDUC PSYCHOL-US,81,6.257
J HEALTH COMMUN,MEDIA PSYCHOL,29,3.125
LINGUIST EDUC,APPL LINGUIST,14,3.593
AUTISM RES,NEUROIMAGE,151,5.835
CORNELL HOSP Q,CORNELL HOSP Q,96,2.657
NEW TECH WORK EMPLOY,HUM RELAT,25,2.622
FRONT PSYCHOL,J PHONETICS,84,1.352
HEALTH POLICY,NEW ENGL J MED,92,72.406
LANG LEARN TECHNOL,COMPUT ASSIST LANG L,41,2.121
ASLIB J INFORM MANAG,ASLIB J INFORM MANAG,14,1.514
J PERS ASSESS,J PERS SOC PSYCHOL,94,5.017
J RISK UNCERTAINTY,Q J ECON,21,6.662
J MEM LANG,PSYCHOL REV,195,7.638
J EXP PSYCHOL LEARN,EXP PSYCHOL,26,1.829
EUR REV APPL PSYCHOL,CRIM JUSTICE BEHAV,18,2.099
J AFFECT DISORDERS,CHILD ADOL PSYCH CL,16,2.479
NEUROPSYCHOLOGIA,TRENDS COGN SCI,536,15.402
LEISURE SCI,J PERS SOC PSYCHOL,11,5.017
FRONT PSYCHOL,AGGRESSIVE BEHAV,55,2.747
PSYCHIAT RES,J PSYCHIATR RES,304,4.183
JPN PSYCHOL RES,PSYCHOL BULL,23,16.793
J BUS ECON MANAG,J FINANC,39,6.043
LEADERSHIP QUART,ACAD MANAGE J,237,7.417
J EMPLOYMENT COUNS,J APPL PSYCHOL,27,4.130
J COGN DEV,J COGN DEV,37,1.621
GROUP PROCESS INTERG,GROUP PROCESS INTERG,96,1.743
PERS REV,CAN J ADM SCI,6,0.268
J POLICY MODEL,J PUBLIC ECON,27,1.538
RES AUTISM SPECT DIS,CHILD DEV,67,4.195
BMJ OPEN,J AGING HEALTH,29,2.168
EUR REV SOC PSYCHOL,PSYCHOL BULL,30,16.793
DEV PSYCHOPATHOL,DEV PSYCHOL,242,3.228
IND RELAT,J LABOR ECON,40,2.887
HUM RESOUR DEV Q,HUM RESOUR DEV Q,60,2.441
J MENT HEALTH,PSYCHIATR REHABIL J,28,1.037
CYBERPSYCH BEH SOC N,J PERS SOC PSYCHOL,63,5.017
SPAN J FINANC ACCOUN,ACCOUNT ORG SOC,31,2.158
J RES MATH EDUC,EDUC STUD MATH,26,0.959
ACCOUNT AUDIT ACCOUN,ACCOUNT AUDIT ACCOUN,310,2.732
CULT DIVERS ETHN MIN,J COMMUNITY PSYCHOL,24,0.86
J MARKETING,J CONSUM RES,93,3.800
SOCIOL INQ,SOC PROBL,15,1.684
EXCEPT CHILDREN,J EDUC PSYCHOL,22,3.459
COMPUT HUM BEHAV,AUSTRALAS J EDUC TEC,35,0.853
PLOS ONE,J BEHAV THER EXP PSY,75,2.517
READ WRIT Q,READ RES QUART,44,1.596
EUR J WORK ORGAN PSY,ACAD MANAGE J,189,7.417
FOREIGN LANG ANN,LANG LEARN,50,2.079
J INTERPERS VIOLENCE,AGGRESS VIOLENT BEH,73,1.928
QUAL RES PSYCHOL,PSYCHOTHER RES,10,2.556
LANG SPEECH,J MEM LANG,42,3.065
ERGONOMICS,ACCIDENT ANAL PREV,101,2.685
PSYCHOL REP,CURR PSYCHOL,6,0.953
J ASSOC INF SCI TECH,ELECTRON LIBR,11,0.484
DISCOURSE STUD,DISCOURSE CONTEXT ME,2,1.000
FRONT PSYCHOL,ADV EXP SOC PSYCHOL,123,5.65
SOC NETWORKS,SOTSIOL ISSLED+,11,0.246
THEOR PSYCHOL,THEOR PSYCHOL,83,0.82
BRIT J MATH STAT PSY,MULTIVAR BEHAV RES,17,2.593
